py_ix,ITEM_ID,COLLECTION,NAME,DESCRIPTION,IMAGE,CATEGORY,MINT_USD,BID_USD,ORDER_USD,BUYERS,N_SALES,what,style,theme,color,season,occasion,who,adult flag,Preview
28,0xc63d572084f4a2cce3d2d8b46be375be9f47e510-2,0xc63d572084f4a2cce3d2d8b46be375be9f47e510,8020 White Track Jacket,GS Gear - The 8020 DeFi - Learn More - gsgnft.com,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc63d572084f4a2cce3d2d8b46be375be9f47e510:2/thumbnail,upper_body,21.07797862,0,0,1,1,surfboard,surf,surf,white,summer,surfing,surfer,no,
29,0x016a61feb6377239e34425b82e5c4b367e52457f-2,0x016a61feb6377239e34425b82e5c4b367e52457f,Metaverse Art Week 2022 Hat,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x016a61feb6377239e34425b82e5c4b367e52457f:2/thumbnail,hat,0,0,0.7762530576,13,16,hat,baseball,art,black,summer,work,baseball player,no,
30,0x17a009bc2a642711a2e0eb58bc760fa520f9ca91-1,0x17a009bc2a642711a2e0eb58bc760fa520f9ca91,Villager Leather Jacket [Lvl. 3],A few Magikans develop their labor abilities,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x17a009bc2a642711a2e0eb58bc760fa520f9ca91:1/thumbnail,upper_body,6.891685791,0,0,1,1,costume,superhero,superhero,orange,summer,halloween,superhero,no,
31,0xffc8e7639fc90d8b1cab18ed2d6dc6cf0568dabf-0,0xffc8e7639fc90d8b1cab18ed2d6dc6cf0568dabf,The Voice Winners T-shirt,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xffc8e7639fc90d8b1cab18ed2d6dc6cf0568dabf:0/thumbnail,upper_body,0,0,0.8684882837,1,1,wetsuit,dress,pink,pink,summer,party,girl,no,
32,0x8df614c837c5fd324c99d90240251d25ca85c3df-0,0x8df614c837c5fd324c99d90240251d25ca85c3df,Star Quest Beta Test Suit,Beta Test Spacesuit for Star Quest,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x8df614c837c5fd324c99d90240251d25ca85c3df:0/thumbnail,upper_body,0,1.388413482,0,1,1,water bottle,t shirt,space,blue,summer,halloween,pilot,no,
33,0x8f3c37cf155f2117df30a1cfde33ea1f7bf0b29d-0,0x8f3c37cf155f2117df30a1cfde33ea1f7bf0b29d,Oversized Tee,A loose fit tee featuring a Misprint ASCII Graphic.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x8f3c37cf155f2117df30a1cfde33ea1f7bf0b29d:0/thumbnail,upper_body,24.71909156,0,0,1,1,shirt,t shirt,sports,white,summer,birthday,child,no,
34,0x5f51ba5474c05e8c3423e2bed7c73939cba1fc5b-1,0x5f51ba5474c05e8c3423e2bed7c73939cba1fc5b,BOJSKAUT work vest,Wearable service www.clurge.com,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x5f51ba5474c05e8c3423e2bed7c73939cba1fc5b:1/thumbnail,upper_body,77.0322471,0,0,2,2,vest,vest,african,brown,winter,christmas,african american,no,
35,0x7ec61e9b91fb0870f4a3d721621bb8a9db276464-3,0x7ec61e9b91fb0870f4a3d721621bb8a9db276464,Turquoise Peacock,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7ec61e9b91fb0870f4a3d721621bb8a9db276464:3/thumbnail,upper_body,30.24159638,0,0,2,2,dress,formal,green,green,summer,prom,doll,no,
36,0x6405cde8217b4a90a4de2da323d7263da49ca484-0,0x6405cde8217b4a90a4de2da323d7263da49ca484,Disfunkt Punk Jacket,Punk Jacket with zebra aqua crop top and gloves,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6405cde8217b4a90a4de2da323d7263da49ca484:0/thumbnail,upper_body,41.90879403,0,0.5273745599,45,47,dress,gothic,fashion,black and green,summer,formal,model,no,
37,0x6cf8d8c5c34000c347408f5570818afb4a798674-2,0x6cf8d8c5c34000c347408f5570818afb4a798674,Ripped Sleeve Denim Jacket,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6cf8d8c5c34000c347408f5570818afb4a798674:2/thumbnail,upper_body,60.15346105,0,0,20,22,jean,jean,denim,blue,summer,party,person,no,
38,0xe2750c571568e434d5351d25a97bcb0ea12ceed0-7,0xe2750c571568e434d5351d25a97bcb0ea12ceed0,Sugar Hoodie,Sugar Unisex Hoodie,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xe2750c571568e434d5351d25a97bcb0ea12ceed0:7/thumbnail,upper_body,0,0,0.4532072222,2,2,sweatshirt,sports,white,white,winter,winter,skier,no,
39,0x3ade64e0855ccb6272b2ca87d337a86be8be5163-1,0x3ade64e0855ccb6272b2ca87d337a86be8be5163,Feet Green,Feet Green,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x3ade64e0855ccb6272b2ca87d337a86be8be5163:1/thumbnail,feet,2.301887358,0,0,1,1,sneakers,sneakers,green,green and white,summer,christmas,skater,no,
40,0x2766a4215c2a2715c8f021dd09f1602a63030843-0,0x2766a4215c2a2715c8f021dd09f1602a63030843,Break Your Balls T-Shirt,The Legendary T-Shirts for The Legendary Players.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x2766a4215c2a2715c8f021dd09f1602a63030843:0/thumbnail,upper_body,0,0.5797842298,0.7064128996,2,3,t shirt,t shirt,skateboarding,gray,summer,birthday,skateboarder,no,
41,0x85db00d72ae4810b9708f1b913d7652035f1b0c6-0,0x85db00d72ae4810b9708f1b913d7652035f1b0c6,Babydolls Quiz Zone Wagmi Hat,Dappcraft x Babydolls collab MVFW 2023,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x85db00d72ae4810b9708f1b913d7652035f1b0c6:0/thumbnail,hat,0,149.7897247,0,1,1,hat,sun hat,zebra,pink and white,summer,summer,woman,yes,
42,0xc11b9d892e12cfaca551551345266d60e9abff6e-2,0xc11b9d892e12cfaca551551345266d60e9abff6e,Random Ravers RaveOrGrave Boot,The Raverse Stage at MVMF 2022,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc11b9d892e12cfaca551551345266d60e9abff6e:2/thumbnail,feet,0,0,3.286385445,17,29,boots,boots,black and yellow,black,winter,skiing,man,no,
43,0x1e13f3cdc5ddee46e3773021aef0882d0018d931-1,0x1e13f3cdc5ddee46e3773021aef0882d0018d931,Samsung Freestyle Cap,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x1e13f3cdc5ddee46e3773021aef0882d0018d931:1/thumbnail,hat,0,0,3.612796668,7,7,hat,computer,rock band,white and black,summer,party,computer,no,
44,0x7f533d082455bd2d4ec2d310d13096720af8b34d-0,0x7f533d082455bd2d4ec2d310d13096720af8b34d,Cyber Art Fit,Win this wearable by completing challenges in MetaParty events!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7f533d082455bd2d4ec2d310d13096720af8b34d:0/thumbnail,upper_body,0,0,7.15300402,2,2,jumpsuit,jumpsuit,red,red,winter,skiing,snowboarder,no,
45,0x8317d477a3312b5fdc04d848d0616263fbd86787-0,0x8317d477a3312b5fdc04d848d0616263fbd86787,Eye Follower Bundle,You followed it. The Eye provided you. Welcome to the cult.,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x8317d477a3312b5fdc04d848d0616263fbd86787:0/thumbnail,hat,0,0,1.736537263,4,4,hat,paper,rock band,white,summer,birthday,fisherman,no,
46,0x8ae1f9f24ffb53806721a8de2ab7af9be39e635d-12,0x8ae1f9f24ffb53806721a8de2ab7af9be39e635d,Tassel Loafers,This NFT will grant you access to ICE Poker Tournament Mode,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x8ae1f9f24ffb53806721a8de2ab7af9be39e635d:12/thumbnail,feet,0,2.974019269,7.573477593,6,10,shoes,loafers,cartoon,gray,summer,party,person,no,
47,0xee79418e0d04b10defc481c8a31a4125c294f927-0,0xee79418e0d04b10defc481c8a31a4125c294f927,Fishing Bucket Hat,"Claim at -69,30 Gain +10 Fishing skill & Increase Gold Fish Luck",https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xee79418e0d04b10defc481c8a31a4125c294f927:0/thumbnail,hat,0,0,34.25610728,1,1,hat,cowboy,gold,gold,summer,birthday,person,no,
48,0xbb293f4f76e81353e768c5b973802742b6a81899-1,0xbb293f4f76e81353e768c5b973802742b6a81899,Green Pants,A pair of shiny green pants,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xbb293f4f76e81353e768c5b973802742b6a81899:1/thumbnail,lower_body,11.31477426,0.2420013796,0.484498926,18,25,wetsuit,tube,neon,green,summer,party,person,no,
49,0x07d03ca2c27f29ec3c4cf3afad857c5af13f61cd-8,0x07d03ca2c27f29ec3c4cf3afad857c5af13f61cd,WZ Rugged Cowboy Hat,Yeehaw!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x07d03ca2c27f29ec3c4cf3afad857c5af13f61cd:8/thumbnail,hat,0,7.120034466,31.12148085,35,50,hat,fedora,bird,brown,summer,birthday,cowboy,no,
50,0x0e9663c4b53ed79b343739b5bafab89666ee8ba3-1,0x0e9663c4b53ed79b343739b5bafab89666ee8ba3,Frost Monarch Body,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x0e9663c4b53ed79b343739b5bafab89666ee8ba3:1/thumbnail,upper_body,3151.587833,383.0705085,1041.849128,50,59,skeleton,skeleton,skeleton,blue,summer,halloween,skeleton,no,
51,0xedef4584e28b35a0c5b7919f8ee0bb5c2ba68304-0,0xedef4584e28b35a0c5b7919f8ee0bb5c2ba68304,Apple Shirt,An Apple a Day Keeps the Carrot Away. Maybe...,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xedef4584e28b35a0c5b7919f8ee0bb5c2ba68304:0/thumbnail,upper_body,0,0,69.67003824,6,7,shirt,t shirt,school,blue,summer,school,boy,no,
52,0x57ecef96f4138a7164041097232ecd56373923f3-0,0x57ecef96f4138a7164041097232ecd56373923f3,Triangle Bikini Italian Tiger,Stylish Italian designer bikini in a detailed tiger look,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x57ecef96f4138a7164041097232ecd56373923f3:0/thumbnail,upper_body,32.44435072,0,0,4,4,bikini,bikini,bikini,yellow and black,summer,swim,woman,yes,
53,0x327b4c016d501828ea35264a6c2b49f76ca5e243-0,0x327b4c016d501828ea35264a6c2b49f76ca5e243,Miranda’s Suit,A cool suit that goes well with Miranda’s cool bob.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x327b4c016d501828ea35264a6c2b49f76ca5e243:0/thumbnail,upper_body,0,0,16.65629336,25,28,snowsuit,kimono,floral,white,winter,birthday,child,no,
54,0x30daed61cd93ca2440ca5f24c975f0bd2be5a05a-1,0x30daed61cd93ca2440ca5f24c975f0bd2be5a05a,African Heritage Suit,Showcasing the rich cultural heritage of Africa,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x30daed61cd93ca2440ca5f24c975f0bd2be5a05a:1/thumbnail,upper_body,19.64696897,0,0,2,2,costume,egyptian,egyptian,yellow,summer,party,african american,yes,
55,0xba1c9963d7fd18a371dfa5809b405d718d777e60-0,0xba1c9963d7fd18a371dfa5809b405d718d777e60,Mr.4Bet's Hat,Designed By WJ Designs,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xba1c9963d7fd18a371dfa5809b405d718d777e60:0/thumbnail,hat,166.5281376,44.31995828,6.961786059,32,91,hat,baseball,baseball,black,summer,summer,person,no,
56,0x651707ff2557d474aee905c7c24271e3bcdfe709-1,0x651707ff2557d474aee905c7c24271e3bcdfe709,Patrón Gold Jacket,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x651707ff2557d474aee905c7c24271e3bcdfe709:1/thumbnail,upper_body,0,4.259875554,13.12316336,11,15,dress,victorian,gold,white and gold,summer,wedding,skier,no,
57,0x936f7846db05297b33f19e38db87a879e8fc79a0-4,0x936f7846db05297b33f19e38db87a879e8fc79a0,TH X VH - AOP Worker Jacket,Denim workwear jacket maximalist Vinnie Hager allover pattern,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x936f7846db05297b33f19e38db87a879e8fc79a0:4/thumbnail,upper_body,446.4488254,0,0,20,22,jacket,jacket,pattern,blue,winter,christmas,child,no,
58,0x60e62ec4013ec8e6348c91627803beac00ef494c-0,0x60e62ec4013ec8e6348c91627803beac00ef494c,ITALIAN LOVERS,This is the first wearable tagged @DCLitalia by Metafox Crew,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x60e62ec4013ec8e6348c91627803beac00ef494c:0/thumbnail,upper_body,52.32531537,0,0,9,20,shirt,t shirt,halloween,black,summer,party,chef,no,
59,0xf35f3b0c7f6c1a274e88a8fc9f085a262fcb9ff0-5,0xf35f3b0c7f6c1a274e88a8fc9f085a262fcb9ff0,Look 08,"""Spring/Summer 22"" 1° Brazilian wearable collection, by Renner",https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xf35f3b0c7f6c1a274e88a8fc9f085a262fcb9ff0:5/thumbnail,upper_body,0,1.263322658,4.891228244,2,3,costume,japanese,halloween,red,winter,christmas,person,no,
60,0x4ee948b986e7392977242fe24e0f0d30e6b97eb5-0,0x4ee948b986e7392977242fe24e0f0d30e6b97eb5,Meta Misfit,Release your MetaVerse misfit alter ego!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x4ee948b986e7392977242fe24e0f0d30e6b97eb5:0/thumbnail,upper_body,0,2.649412281,29.1853248,6,10,pajamas,pajamas,alien,red and white,winter,christmas,child,no,
61,0x12645fe6b12b45f868d0a1c5cc6dc7b093a10d1c-2,0x12645fe6b12b45f868d0a1c5cc6dc7b093a10d1c,"""WAR FOR THE ENERGY""",Let's make the world a better place!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x12645fe6b12b45f868d0a1c5cc6dc7b093a10d1c:2/thumbnail,upper_body,1.387723744,0,0,7,9,t shirt,t shirt,halloween,brown,summer,halloween,skater,no,
62,0xb16c1e230bfe3b53a82d873115d26f1ce3b73e7f-3,0xb16c1e230bfe3b53a82d873115d26f1ce3b73e7f,MVMF '22 SoundR Loek,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xb16c1e230bfe3b53a82d873115d26f1ce3b73e7f:3/thumbnail,upper_body,4.225410429,0,0,1,2,shirt,t shirt,t shirt,black,summer,party,person,no,
